datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Coal,11563,0.150,False
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Gas,34213,0.440,False
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Hydro,292,0.000,True
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Multiple Fuels,158,0.000,False
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Nuclear,28063,0.360,False
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Oil,176,0.000,False
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Other,113,0.000,False
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Other Renewables,526,0.010,True
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Solar,3,0.000,True
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Storage,0,0.000,False
11/1/2022 3:00:00 AM,10/31/2022 11:00:00 PM,Wind,2057,0.030,True
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Coal,12132,0.150,False
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Gas,37403,0.460,False
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Hydro,291,0.000,True
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Multiple Fuels,163,0.000,False
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Nuclear,28075,0.350,False
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Oil,174,0.000,False
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Other,111,0.000,False
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Other Renewables,535,0.010,True
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Solar,3,0.000,True
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Storage,0,0.000,False
11/1/2022 2:00:00 AM,10/31/2022 10:00:00 PM,Wind,1682,0.020,True
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Coal,12079,0.150,False
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Gas,39140,0.470,False
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Hydro,993,0.010,True
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Multiple Fuels,360,0.000,False
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Nuclear,28046,0.340,False
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Oil,172,0.000,False
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Other,112,0.000,False
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Other Renewables,520,0.010,True
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Solar,3,0.000,True
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Storage,0,0.000,False
11/1/2022 1:00:00 AM,10/31/2022 9:00:00 PM,Wind,1429,0.020,True
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Coal,11934,0.140,False
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Gas,40607,0.470,False
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Hydro,2716,0.030,True
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Multiple Fuels,619,0.010,False
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Nuclear,27830,0.320,False
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Oil,173,0.000,False
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Other,113,0.000,False
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Other Renewables,509,0.010,True
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Solar,3,0.000,True
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Storage,0,0.000,False
11/1/2022 12:00:00 AM,10/31/2022 8:00:00 PM,Wind,1269,0.010,True
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Coal,12391,0.140,False
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Gas,41095,0.470,False
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Hydro,2955,0.030,True
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Multiple Fuels,618,0.010,False
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Nuclear,27681,0.320,False
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Oil,173,0.000,False
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Other,112,0.000,False
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Other Renewables,497,0.010,True
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Solar,3,0.000,True
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Storage,0,0.000,False
10/31/2022 11:00:00 PM,10/31/2022 7:00:00 PM,Wind,1297,0.010,True
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Coal,13216,0.150,False
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Gas,41059,0.470,False
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Hydro,2645,0.030,True
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Multiple Fuels,613,0.010,False
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Nuclear,27624,0.320,False
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Oil,174,0.000,False
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Other,111,0.000,False
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Other Renewables,494,0.010,True
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Solar,3,0.000,True
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Storage,0,0.000,False
10/31/2022 10:00:00 PM,10/31/2022 6:00:00 PM,Wind,1014,0.010,True
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Coal,13568,0.160,False
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Gas,40904,0.470,False
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Hydro,1996,0.020,True
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Multiple Fuels,603,0.010,False
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Nuclear,27637,0.320,False
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Oil,174,0.000,False
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Other,113,0.000,False
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Other Renewables,489,0.010,True
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Solar,149,0.000,True
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Storage,0,0.000,False
10/31/2022 9:00:00 PM,10/31/2022 5:00:00 PM,Wind,1253,0.010,True
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Coal,13456,0.150,False
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Gas,40659,0.470,False
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Hydro,1874,0.020,True
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Multiple Fuels,604,0.010,False
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Nuclear,27654,0.320,False
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Oil,176,0.000,False
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Other,136,0.000,False
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Other Renewables,491,0.010,True
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Solar,392,0.000,True
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Storage,0,0.000,False
10/31/2022 8:00:00 PM,10/31/2022 4:00:00 PM,Wind,1519,0.020,True
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Coal,13334,0.150,False
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Gas,40761,0.470,False
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Hydro,1018,0.010,True
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Multiple Fuels,715,0.010,False
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Nuclear,27661,0.320,False
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Oil,202,0.000,False
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Other,225,0.000,False
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Other Renewables,499,0.010,True
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Solar,925,0.010,True
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Storage,0,0.000,False
10/31/2022 7:00:00 PM,10/31/2022 3:00:00 PM,Wind,1651,0.020,True
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Coal,13125,0.150,False
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Gas,40717,0.470,False
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Hydro,871,0.010,True
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Multiple Fuels,709,0.010,False
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Nuclear,27459,0.320,False
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Oil,188,0.000,False
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Other,328,0.000,False
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Other Renewables,546,0.010,True
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Solar,1307,0.020,True
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Storage,0,0.000,False
10/31/2022 6:00:00 PM,10/31/2022 2:00:00 PM,Wind,1744,0.020,True
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Coal,13612,0.160,False
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Gas,40454,0.460,False
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Hydro,712,0.010,True
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Multiple Fuels,612,0.010,False
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Nuclear,27295,0.310,False
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Oil,172,0.000,False
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Other,322,0.000,False
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Other Renewables,543,0.010,True
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Solar,1855,0.020,True
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Storage,0,0.000,False
10/31/2022 5:00:00 PM,10/31/2022 1:00:00 PM,Wind,1596,0.020,True
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Coal,13402,0.150,False
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Gas,40235,0.460,False
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Hydro,1174,0.010,True
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Multiple Fuels,656,0.010,False
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Nuclear,27251,0.310,False
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Oil,173,0.000,False
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Other,301,0.000,False
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Other Renewables,537,0.010,True
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Solar,1828,0.020,True
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Storage,0,0.000,False
10/31/2022 4:00:00 PM,10/31/2022 12:00:00 PM,Wind,1412,0.020,True
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Coal,13472,0.150,False
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Gas,39975,0.460,False
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Hydro,2198,0.030,True
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Multiple Fuels,618,0.010,False
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Nuclear,27258,0.310,False
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Oil,173,0.000,False
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Other,270,0.000,False
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Other Renewables,524,0.010,True
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Solar,1519,0.020,True
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Storage,0,0.000,False
10/31/2022 3:00:00 PM,10/31/2022 11:00:00 AM,Wind,1386,0.020,True
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Coal,13472,0.150,False
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Gas,39713,0.450,False
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Hydro,2917,0.030,True
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Multiple Fuels,647,0.010,False
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Nuclear,27297,0.310,False
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Oil,173,0.000,False
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Other,234,0.000,False
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Other Renewables,528,0.010,True
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Solar,1106,0.010,True
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Storage,0,0.000,False
10/31/2022 2:00:00 PM,10/31/2022 10:00:00 AM,Wind,1410,0.020,True
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Coal,13567,0.160,False
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Gas,39895,0.460,False
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Hydro,2019,0.020,True
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Multiple Fuels,247,0.000,False
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Nuclear,27181,0.320,False
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Oil,173,0.000,False
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Other,236,0.000,False
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Other Renewables,530,0.010,True
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Solar,840,0.010,True
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Storage,0,0.000,False
10/31/2022 1:00:00 PM,10/31/2022 9:00:00 AM,Wind,1296,0.020,True
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Coal,13527,0.160,False
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Gas,40676,0.470,False
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Hydro,2273,0.030,True
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Multiple Fuels,247,0.000,False
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Nuclear,27132,0.320,False
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Oil,173,0.000,False
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Other,174,0.000,False
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Other Renewables,537,0.010,True
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Solar,294,0.000,True
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Storage,0,0.000,False
10/31/2022 12:00:00 PM,10/31/2022 8:00:00 AM,Wind,1069,0.010,True
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Coal,12877,0.150,False
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Gas,40205,0.470,False
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Hydro,3078,0.040,True
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Multiple Fuels,247,0.000,False
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Nuclear,27015,0.320,False
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Oil,164,0.000,False
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Other,113,0.000,False
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Other Renewables,537,0.010,True
10/31/2022 11:00:00 AM,10/31/2022 7:00:00 AM,Solar,2,0.000,True
