datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
4/1/2023 4:00:00 AM,4/1/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10475.077,False
4/1/2023 5:00:00 AM,4/1/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,10147.155,False
4/1/2023 6:00:00 AM,4/1/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,9956.778,False
4/1/2023 7:00:00 AM,4/1/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,9804.514,False
4/1/2023 8:00:00 AM,4/1/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,9842.531,False
4/1/2023 9:00:00 AM,4/1/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,10015.874,False
4/1/2023 10:00:00 AM,4/1/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,10231.355,False
4/1/2023 11:00:00 AM,4/1/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,10548.329,False
4/1/2023 12:00:00 PM,4/1/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,11016.670,False
4/1/2023 1:00:00 PM,4/1/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,11342.372,False
4/1/2023 2:00:00 PM,4/1/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,11548.394,False
4/1/2023 3:00:00 PM,4/1/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,11549.593,False
4/1/2023 4:00:00 PM,4/1/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,11485.201,False
4/1/2023 5:00:00 PM,4/1/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,11436.193,False
4/1/2023 6:00:00 PM,4/1/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,11291.399,False
4/1/2023 7:00:00 PM,4/1/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,11235.615,False
4/1/2023 8:00:00 PM,4/1/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,11228.035,False
4/1/2023 9:00:00 PM,4/1/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,11534.777,False
4/1/2023 10:00:00 PM,4/1/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,11819.253,False
4/1/2023 11:00:00 PM,4/1/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,11939.014,False
4/2/2023 12:00:00 AM,4/1/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,11740.201,False
4/2/2023 1:00:00 AM,4/1/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,11369.365,False
4/2/2023 2:00:00 AM,4/1/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,10889.771,False
4/2/2023 3:00:00 AM,4/1/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,10363.035,False
4/2/2023 4:00:00 AM,4/2/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,9937.251,False
4/2/2023 5:00:00 AM,4/2/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,9783.283,False
4/2/2023 6:00:00 AM,4/2/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,9666.983,False
4/2/2023 7:00:00 AM,4/2/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,9671.677,False
4/2/2023 8:00:00 AM,4/2/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,9728.313,False
4/2/2023 9:00:00 AM,4/2/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,10090.147,False
4/2/2023 10:00:00 AM,4/2/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,10581.590,False
4/2/2023 11:00:00 AM,4/2/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,11033.537,False
4/2/2023 12:00:00 PM,4/2/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,11203.352,False
4/2/2023 1:00:00 PM,4/2/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,11130.238,False
4/2/2023 2:00:00 PM,4/2/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,10922.742,False
4/2/2023 3:00:00 PM,4/2/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,10710.456,False
4/2/2023 4:00:00 PM,4/2/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,10557.256,False
4/2/2023 5:00:00 PM,4/2/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,10385.567,False
4/2/2023 6:00:00 PM,4/2/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,10215.043,False
4/2/2023 7:00:00 PM,4/2/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,10121.191,False
4/2/2023 8:00:00 PM,4/2/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,10379.752,False
4/2/2023 9:00:00 PM,4/2/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,10715.321,False
4/2/2023 10:00:00 PM,4/2/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,11191.887,False
4/2/2023 11:00:00 PM,4/2/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,11710.546,False
4/3/2023 12:00:00 AM,4/2/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,11974.043,False
4/3/2023 1:00:00 AM,4/2/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,11720.390,False
4/3/2023 2:00:00 AM,4/2/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,11321.304,False
4/3/2023 3:00:00 AM,4/2/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,10911.306,False
4/3/2023 4:00:00 AM,4/3/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10619.470,False
4/3/2023 5:00:00 AM,4/3/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,10547.691,False
4/3/2023 6:00:00 AM,4/3/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,10600.285,False
4/3/2023 7:00:00 AM,4/3/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,10794.684,False
4/3/2023 8:00:00 AM,4/3/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,11222.261,False
4/3/2023 9:00:00 AM,4/3/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,11978.259,False
4/3/2023 10:00:00 AM,4/3/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,12979.068,False
4/3/2023 11:00:00 AM,4/3/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,13394.191,False
4/3/2023 12:00:00 PM,4/3/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,12888.248,False
4/3/2023 1:00:00 PM,4/3/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,12215.872,False
4/3/2023 2:00:00 PM,4/3/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,11712.698,False
4/3/2023 3:00:00 PM,4/3/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,11459.483,False
4/3/2023 4:00:00 PM,4/3/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,11311.251,False
4/3/2023 5:00:00 PM,4/3/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,11333.143,False
4/3/2023 6:00:00 PM,4/3/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,11403.011,False
4/3/2023 7:00:00 PM,4/3/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,11377.587,False
4/3/2023 8:00:00 PM,4/3/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,11604.436,False
4/3/2023 9:00:00 PM,4/3/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,11845.483,False
4/3/2023 10:00:00 PM,4/3/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,12035.997,False
4/3/2023 11:00:00 PM,4/3/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,12365.710,False
4/4/2023 12:00:00 AM,4/3/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,12425.017,False
4/4/2023 1:00:00 AM,4/3/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,11988.902,False
4/4/2023 2:00:00 AM,4/3/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,11330.565,False
4/4/2023 3:00:00 AM,4/3/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,10696.034,False
4/4/2023 4:00:00 AM,4/4/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10219.735,False
4/4/2023 5:00:00 AM,4/4/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,9883.451,False
4/4/2023 6:00:00 AM,4/4/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,9720.328,False
4/4/2023 7:00:00 AM,4/4/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,9753.721,False
4/4/2023 8:00:00 AM,4/4/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,9895.863,False
4/4/2023 9:00:00 AM,4/4/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,10470.857,False
4/4/2023 10:00:00 AM,4/4/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,11232.891,False
4/4/2023 11:00:00 AM,4/4/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,11686.658,False
4/4/2023 12:00:00 PM,4/4/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,11701.575,False
4/4/2023 1:00:00 PM,4/4/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,11582.481,False
4/4/2023 2:00:00 PM,4/4/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,11529.519,False
4/4/2023 3:00:00 PM,4/4/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,11564.104,False
4/4/2023 4:00:00 PM,4/4/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,11807.824,False
4/4/2023 5:00:00 PM,4/4/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,12166.524,False
4/4/2023 6:00:00 PM,4/4/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,12396.149,False
4/4/2023 7:00:00 PM,4/4/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,12624.721,False
4/4/2023 8:00:00 PM,4/4/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,12900.104,False
4/4/2023 9:00:00 PM,4/4/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,13293.176,False
4/4/2023 10:00:00 PM,4/4/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,13539.530,False
4/4/2023 11:00:00 PM,4/4/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,13666.518,False
4/5/2023 12:00:00 AM,4/4/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,13609.816,False
4/5/2023 1:00:00 AM,4/4/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,13043.119,False
4/5/2023 2:00:00 AM,4/4/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,12271.621,False
4/5/2023 3:00:00 AM,4/4/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,11469.010,False
4/5/2023 4:00:00 AM,4/5/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10804.696,False
4/5/2023 5:00:00 AM,4/5/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,10350.156,False
4/5/2023 6:00:00 AM,4/5/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,9984.659,False
4/5/2023 7:00:00 AM,4/5/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,9821.150,False
4/5/2023 8:00:00 AM,4/5/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,9908.925,False
4/5/2023 9:00:00 AM,4/5/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,10444.151,False
4/5/2023 10:00:00 AM,4/5/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,11084.396,False
4/5/2023 11:00:00 AM,4/5/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,11366.071,False
4/5/2023 12:00:00 PM,4/5/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,11542.602,False
4/5/2023 1:00:00 PM,4/5/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,11903.643,False
4/5/2023 2:00:00 PM,4/5/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,12360.513,False
4/5/2023 3:00:00 PM,4/5/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,12834.682,False
4/5/2023 4:00:00 PM,4/5/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,13463.213,False
4/5/2023 5:00:00 PM,4/5/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,13901.689,False
4/5/2023 6:00:00 PM,4/5/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,14239.495,False
4/5/2023 7:00:00 PM,4/5/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,14526.472,False
4/5/2023 8:00:00 PM,4/5/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,14777.455,False
4/5/2023 9:00:00 PM,4/5/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,14938.188,False
4/5/2023 10:00:00 PM,4/5/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,14988.706,False
4/5/2023 11:00:00 PM,4/5/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,14927.844,False
4/6/2023 12:00:00 AM,4/5/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,14820.044,False
4/6/2023 1:00:00 AM,4/5/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,14254.531,False
4/6/2023 2:00:00 AM,4/5/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,13360.971,False
4/6/2023 3:00:00 AM,4/5/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,12498.462,False
